startDM,stopDM,dmSpacing,startTime,stopTime,clusterRank,pulseRank,pulsePeakDM,pulseMaxCount,pulseLocalPeakHeight,pulseTotalCount,pulseAvgCount,snrPeakDM,snrMax,snrLocalPeakHeight,snrIntensity,snrAvgIntensity,snrRatio,fittedWidth,fittedPeakFlux,snrMaxFitChiSquare,pulsar
30.69,39.84,0.2,132.284744,136.15317,1,1,32.28,5,3.01,597,1.99,33.36,9.27,3,3743.53,6.27,3.31,8.19,8.51,49.37,1
32.25,33.66,0.03,120.929976,120.935383,11,1,32.25,1,0,48,1,32.94,7.53,1.68,280.65,5.85,4.28,0.92,7.08,4.65,1
29.61,36.06,0.03,66.783805,66.811986,7,1,32.37,2,0.83,253,1.17,32.82,11.4,4.02,1868.36,7.38,2.6,6.17,10.23,32.46,1
30.75,36.33,0.03,13.599867,13.619528,10,1,30.75,1,0,187,1,33.03,9.89,2.52,1377.77,7.37,3.11,6.59,9.24,40.42,1
30.81,34.74,0.03,36.412457,36.433756,23,1,32.67,2,0.98,134,1.02,32.55,8.38,1.43,931.93,6.95,3.68,5.83,8.06,9.45,1
31.02,36.6,0.03,53.473608,53.497692,14,1,31.92,2,0.66,251,1.34,32.91,9.37,1.88,1879.79,7.49,3.31,14.89,8.84,5.54,1
31.65,34.5,0.03,85.809562,85.821522,11,1,32.37,2,0.97,99,1.03,32.85,9.81,2.23,750.04,7.58,3.23,4.06,9.24,11.41,1
31.86,33.63,0.03,82.012078,82.025677,38,1,33.45,2,0.98,61,1.02,32.34,6.37,0.81,338.88,5.56,5,2.2,6,3.09,1
32.7,32.94,0.03,28.343665,28.34645,53,1,32.7,1,0,9,1,32.82,5.45,0.21,47.15,5.24,6,-1,-1,-1,1
31.74,33.87,0.03,61.738189,61.805199,25,1,32.52,2,0.56,101,1.44,32.82,6.6,0.91,574.39,5.69,4.81,3.73,6.19,2.1,1
32.07,32.55,0.03,67.518792,67.521085,110,1,32.07,1,0,16,1,32.19,5.32,0.2,81.9,5.12,6.03,-1,-1,-1,1
32.82,33.87,0.03,126.465475,126.471045,27,1,32.82,1,0,35,1,33.33,6.54,0.42,214.36,6.12,5.02,2.16,6.53,0.73,1
17.76,18.18,0.03,27.819049,27.820687,2,1,17.76,1,0,15,1,17.88,7.77,1.57,92.93,6.2,2.29,0.36,7.52,7.18,1
30.09,42.57,0.03,137.495347,137.923133,2,1,34.83,4,2.26,681,1.74,35.76,20.63,12.25,5706.96,8.38,1.46,6.85,16.75,299.55,1
30.18,40.05,0.03,130.13418,130.180383,8,1,32.37,2,0.96,320,1.04,35.7,16.38,8.18,2625.4,8.2,1.84,4.58,15.78,104.59,1
31.89,39.57,0.03,135.56138,135.602012,7,1,35.37,2,0.91,262,1.09,35.76,17.11,8.39,2285.67,8.72,1.86,4.27,16.15,70.73,1
31.95,38.7,0.03,128.201196,128.23167,21,1,34.71,2,0.98,214,1.02,35.94,11.27,3.97,1562.67,7.3,2.83,4.42,10.93,31.05,1
33.48,38.34,0.03,133.62987,133.651333,18,1,33.48,1,0,150,1,35.7,12.03,4.12,1186.8,7.91,2.78,4.23,11.07,11.26,1
33.63,38.76,0.03,129.753907,129.776189,16,1,37.83,2,0.97,165,1.03,35.82,13.36,4.68,1431.86,8.68,2.52,5,12.67,69.6,1
34.26,37.77,0.03,114.634752,114.65474,28,1,34.68,2,0.83,129,1.17,35.61,9.03,2.2,881.68,6.83,3.79,3.83,8.82,16.91,1
34.29,39.03,0.03,130.522317,130.551808,22,1,34.59,2,0.84,174,1.16,35.76,10.12,3.23,1198.47,6.89,3.39,3.92,9.9,34.49,1
34.5,36.54,0.03,139.841372,139.852186,19,1,34.5,1,0,64,1,35.67,11.57,2.59,574.87,8.98,2.98,3.36,10.86,3.29,1
34.53,38.55,0.03,127.424758,127.446548,23,1,35.43,2,0.97,130,1.03,35.52,9.9,2.26,992.96,7.64,3.49,10.22,8.62,40.28,1
34.77,36.51,0.03,123.171471,123.179991,36,1,34.77,1,0,54,1,35.79,7.7,1.46,337.13,6.24,4.52,2.14,7.07,4.67,1
35.13,36.99,0.03,131.310223,131.320873,32,1,35.13,1,0,60,1,36,8.43,1.81,397.4,6.62,4.17,2.15,7.93,15.39,1
35.28,36.12,0.03,121.234883,121.239142,74,1,35.28,1,0,28,1,35.58,5.74,0.41,149.38,5.33,6.15,-1,-1,-1,1
35.4,36.33,0.03,125.108879,125.113795,41,1,35.4,1,0,32,1,35.76,7.16,1.14,192.54,6.02,4.94,0.93,7.11,4.24,1
35.55,36.06,0.03,127.826002,127.829279,48,1,35.55,1,0,18,1,35.76,6.5,0.66,105.17,5.84,5.47,0.68,6.46,0.72,1
35.82,36.15,0.03,126.274929,126.276239,45,2,35.82,1,0,12,1,35.82,6.38,0.5,70.6,5.88,5.61,1.23,6.23,0.48,1
18.51,57.65,0.03,135.64543,136.983839,2,1,26.1,12,6.26,7383,5.74,35.73,122.32,111.3,81366.98,11.02,0.15,2.87,113.9,1856.94,1
20.97,50.76,0.03,126.328177,127.67658,25,1,26.07,13,5.7,7223,7.3,35.7,70.85,60.62,73904.13,10.23,0.3,8.36,56.82,1012.34,1
21,46.02,0.03,124.758098,126.105354,5,1,34.26,10,4.89,4254,5.11,35.73,98.61,84.48,60102.5,14.13,0.21,4.01,87.63,1036.78,1
22.14,53.25,0.03,93.057352,94.206525,34,1,31.41,7,3.42,3694,3.58,35.76,63.12,51.07,44509.45,12.05,0.35,7.34,53.92,1088.07,1
22.26,40.59,0.03,112.071803,112.2227,29,1,26.58,3,0.89,1284,2.11,35.79,68.83,55.81,16716.98,13.02,0.32,4.67,62.16,459.79,1
23.25,49.59,0.03,133.356913,134.339297,17,1,28.44,10,6.3,3237,3.7,35.7,77.78,65.54,39605.37,12.24,0.3,5.29,68.19,1132.51,1
23.7,50.52,0.03,109.289472,110.214021,15,1,27.69,10,4.6,4812,5.4,35.76,78.13,65.97,58507.64,12.16,0.3,5.08,68.3,807.56,1
23.82,41.88,0.03,108.947538,109.112033,35,1,41.67,5,2.52,1486,2.48,35.76,60.06,47.75,18293.14,12.31,0.4,5.85,52.97,380.55,1
23.94,44.4,0.03,139.105403,140.259656,9,1,28.92,12,5.91,4139,6.09,35.73,87.56,75.36,50484.73,12.2,0.27,4.32,79.04,849.62,1
23.97,46.11,0.03,117.455749,118.451241,33,1,25.62,8,3.38,3402,4.62,35.7,65.36,52.47,43866.96,12.89,0.37,7.19,57.09,548.29,1
24.21,48.27,0.03,115.552256,116.972585,13,1,43.08,11,5.96,4031,5.04,35.7,81.73,69.75,48288.3,11.98,0.3,5.42,70.37,833.99,1
24.24,45.9,0.03,96.551404,97.824932,26,1,29.13,10,4.42,4019,5.58,35.91,70.34,56.64,55050.28,13.7,0.34,6.68,60.1,362.55,1
24.27,48.69,0.03,89.94177,91.196948,43,1,31.59,8,3.54,3623,4.46,35.61,51.33,39.33,43471.45,12,0.47,7.6,45.47,544.24,1
24.39,51.39,0.03,134.503301,135.488635,4,1,28.5,15,9.58,4860,5.42,35.76,99.32,87.47,57591.19,11.85,0.25,3.41,93.6,741.53,1
24.54,49.71,0.03,100.805837,102.076908,21,1,30.39,10,4.56,4551,5.44,35.79,75.44,63.06,56353.54,12.38,0.33,4.85,67.89,1002.18,1
24.72,47.46,0.03,118.655222,119.225876,19,1,30.6,7,3.74,2466,3.26,35.76,76.67,63.95,31379.63,12.72,0.32,4.8,68.83,975.76,1
